FS,FE,CLF,n_ok_folds,n_total_folds,success_rate,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,precision_mean,precision_std,recall_mean,recall_std
VT,PCA,ET,15,15,1.0,0.9047432801912341,0.0062683721928467285,0.7318636706556357,0.04143541662013753,0.9225233597224086,0.004888915793199637,0.6780908366112843,0.040663414004643086,0.8650194744801908,0.04188149762451398
VT,PCA,KNN,15,15,1.0,0.8907006068199625,0.0074577014229872405,0.7301833514308552,0.05312813946468166,0.9111131113850442,0.00606538490230216,0.6730151052357106,0.05038066263415866,0.8909443206210935,0.060736004719182286
VT,SVD,KNN,15,15,1.0,0.8906418599647286,0.007419444036515976,0.7301266436057712,0.05317394356326243,0.9110717509668074,0.006030951346736864,0.6729752140590529,0.05040499222713542,0.8908688023636328,0.06081763778204644
ANOVA,PCA,DT,15,15,1.0,0.9155096682124815,0.007953730986369006,0.7267303413859634,0.02014195226475603,0.9292117782841005,0.0066447777818979484,0.6724447085581021,0.026808250163072613,0.8385243830049532,0.010112170928170463
ANOVA,SVD,DT,15,15,1.0,0.9155096682124815,0.007953730986369006,0.7267303413859634,0.02014195226475603,0.9292117782841005,0.0066447777818979484,0.6724447085581021,0.026808250163072613,0.8385243830049532,0.010112170928170463
VT,ICA,KNN,15,15,1.0,0.8842230143386539,0.01023762776592677,0.7258512515583871,0.0551766729799405,0.9050814323595721,0.008305334458807127,0.6693818314751968,0.051877272664885316,0.8862544514623573,0.06356675050776868
VT,LDA,SVM,15,15,1.0,0.84194858506042,0.010477236370737743,0.7256926733993836,0.05400313891066868,0.869157115065628,0.008599961679659063,0.6687207172435681,0.04864554253988833,0.8943975708068006,0.062058852554701255
VT,ICA,XGB,15,15,1.0,0.9127045358132656,0.007790350731952617,0.7247288548304737,0.013831267875480632,0.9276210875971357,0.006356926862220934,0.6682328132750991,0.01918967809866693,0.8482975269551214,0.006173575116240483
Chi2,PCA,DT,15,15,1.0,0.900482946986425,0.009955619131472937,0.7177284401452849,0.02088536987153111,0.9171669741528761,0.007754731515409468,0.662724073298525,0.027254787660970472,0.8342072024411561,0.011791433420567545
Chi2,SVD,DT,15,15,1.0,0.900482946986425,0.009955619131472937,0.7177284401452849,0.02088536987153111,0.9171669741528761,0.007754731515409468,0.662724073298525,0.027254787660970472,0.8342072024411561,0.011791433420567545
VT,ICA,LGBM,15,15,1.0,0.904097799483464,0.04718918402022229,0.7126719076008311,0.07990643099046657,0.9203305386743229,0.04090434580745846,0.6585378919702881,0.08194993989953878,0.8344529794232372,0.061660184516845414
VT,ICA,GB,15,15,1.0,0.9001013723901043,0.007726899607484414,0.7123701271388817,0.016722200028747452,0.9173960184577762,0.006937505826815814,0.6512795636247979,0.018435611168269802,0.8544105104060155,0.03344501423762212
VT,LDA,NB,15,15,1.0,0.8833855568958161,0.006501147956278466,0.709121211813983,0.013122195711665877,0.9072669391041175,0.004501662216577947,0.6644880775243274,0.012737869481494909,0.8708753150148577,0.04877628721254994
VT,SVD,LR,15,15,1.0,0.8472660056375102,0.008254763740500251,0.6959205458521389,0.046203469390053,0.8765569808937298,0.006600997414317229,0.6375657533076181,0.04093593370884913,0.8730666742217454,0.05687778523458353
