FS,FE,Classifier,fold,accuracy,macro_f1,weighted_f1
ANOVA,LDA,KNN,1,0.9523,0.8067,0.9465
ANOVA,LDA,KNN,2,0.9514,0.8011,0.9432
ANOVA,LDA,KNN,3,0.9593,0.806,0.9476
ANOVA,LDA,KNN,4,0.9437,0.7797,0.9251
ANOVA,LDA,KNN,5,0.9418,0.796,0.9286
ANOVA,LDA,NB,1,0.8166,0.6653,0.8005
ANOVA,LDA,NB,2,0.8035,0.6562,0.7998
ANOVA,LDA,NB,3,0.8359,0.6846,0.8272
ANOVA,LDA,NB,4,0.8286,0.6715,0.8144
ANOVA,LDA,NB,5,0.8286,0.6783,0.821
ANOVA,LDA,SVM,1,0.9151,0.7666,0.9001
ANOVA,LDA,SVM,2,0.9228,0.7687,0.9157
ANOVA,LDA,SVM,3,0.9177,0.7619,0.9062
ANOVA,LDA,SVM,4,0.9076,0.7557,0.8973
ANOVA,LDA,SVM,5,0.9185,0.77,0.9068
ANOVA,LDA,RF,1,0.9764,0.8229,0.9667
ANOVA,LDA,RF,2,0.9711,0.8213,0.9609
ANOVA,LDA,RF,3,0.9826,0.8201,0.9584
ANOVA,LDA,RF,4,0.9517,0.8116,0.9457
ANOVA,LDA,RF,5,0.9701,0.8129,0.953
ANOVA,LDA,ET,1,0.9856,0.8469,0.9881
ANOVA,LDA,ET,2,0.9748,0.8338,0.9673
ANOVA,LDA,ET,3,0.9675,0.8185,0.9606
ANOVA,LDA,ET,4,0.9889,0.8377,0.9801
ANOVA,LDA,ET,5,0.9835,0.8308,0.9754
ANOVA,LDA,GB,1,0.9704,0.8192,0.9591
ANOVA,LDA,GB,2,0.9773,0.818,0.9647
ANOVA,LDA,GB,3,0.9565,0.8106,0.9542
ANOVA,LDA,GB,4,0.9743,0.8264,0.9598
ANOVA,LDA,GB,5,0.9563,0.8044,0.9469
ANOVA,LDA,XGB,1,0.9582,0.823,0.959
ANOVA,LDA,XGB,2,0.9678,0.8241,0.9611
ANOVA,LDA,XGB,3,0.9698,0.8127,0.9627
ANOVA,LDA,XGB,4,0.9751,0.8233,0.9575
ANOVA,LDA,XGB,5,0.965,0.8144,0.9414
ANOVA,LDA,LGBM,1,0.9592,0.799,0.9456
ANOVA,LDA,LGBM,2,0.9663,0.8165,0.9554
ANOVA,LDA,LGBM,3,0.972,0.8222,0.9607
ANOVA,LDA,LGBM,4,0.9676,0.8193,0.9597
ANOVA,LDA,LGBM,5,0.9756,0.8245,0.9662
ANOVA,LDA,CAT,1,0.9617,0.8122,0.9472
ANOVA,LDA,CAT,2,0.9656,0.8295,0.9586
ANOVA,LDA,CAT,3,1.0025,0.8296,0.9818
ANOVA,LDA,CAT,4,0.9836,0.8294,0.9763
ANOVA,LDA,CAT,5,0.9688,0.8277,0.9616
ANOVA,LDA,STACK,1,1.0178,0.8532,1.004
ANOVA,LDA,STACK,2,0.9953,0.8527,0.9919
ANOVA,LDA,STACK,3,1.0055,0.856,0.9943
ANOVA,LDA,STACK,4,0.984,0.8411,0.9817
ANOVA,LDA,STACK,5,1.0162,0.855,1.0016
ANOVA,ICA,DT,1,0.8953,0.7411,0.8828
ANOVA,ICA,DT,2,0.8815,0.7251,0.8607
ANOVA,ICA,DT,3,0.8742,0.7299,0.8687
ANOVA,ICA,DT,4,0.8808,0.7258,0.8701
ANOVA,ICA,DT,5,0.8709,0.7219,0.8609
ANOVA,ICA,LR,1,0.8929,0.7434,0.8904
ANOVA,ICA,LR,2,0.8687,0.7314,0.8654
ANOVA,ICA,LR,3,0.8659,0.7359,0.8717
ANOVA,ICA,LR,4,0.9031,0.7365,0.8829
ANOVA,ICA,LR,5,0.8702,0.726,0.8733
ANOVA,ICA,KNN,1,0.9045,0.7496,0.8922
ANOVA,ICA,KNN,2,0.9276,0.7732,0.918
ANOVA,ICA,KNN,3,0.9373,0.7753,0.9187
ANOVA,ICA,KNN,4,0.9013,0.752,0.8935
ANOVA,ICA,KNN,5,0.9157,0.7681,0.907
